"filename", "language", "C", "Makefile", "CUDA C++", "comment", "blank", "total"
"/home/gg/Bureau/C/PROJET-TAXI/Makefile", "Makefile", 0, 16, 0, 2, 5, 23
"/home/gg/Bureau/C/PROJET-TAXI/OC/Makefile", "Makefile", 0, 25, 0, 0, 11, 36
"/home/gg/Bureau/C/PROJET-TAXI/OC/include/defines.h", "CUDA C++", 0, 0, 17, 0, 7, 24
"/home/gg/Bureau/C/PROJET-TAXI/OC/include/gData_list.h", "CUDA C++", 0, 0, 10, 0, 6, 16
"/home/gg/Bureau/C/PROJET-TAXI/OC/include/handlers.h", "CUDA C++", 0, 0, 15, 0, 4, 19
"/home/gg/Bureau/C/PROJET-TAXI/OC/include/list.h", "CUDA C++", 0, 0, 26, 2, 6, 34
"/home/gg/Bureau/C/PROJET-TAXI/OC/include/oc.h", "CUDA C++", 0, 0, 46, 0, 11, 57
"/home/gg/Bureau/C/PROJET-TAXI/OC/include/shared.h", "CUDA C++", 0, 0, 31, 0, 9, 40
"/home/gg/Bureau/C/PROJET-TAXI/OC/src/gData_list.c", "C", 40, 0, 0, 0, 17, 57
"/home/gg/Bureau/C/PROJET-TAXI/OC/src/handlers.c", "C", 63, 0, 0, 29, 21, 113
"/home/gg/Bureau/C/PROJET-TAXI/OC/src/list.c", "C", 116, 0, 0, 43, 38, 197
"/home/gg/Bureau/C/PROJET-TAXI/OC/src/main.c", "C", 27, 0, 0, 0, 11, 38
"/home/gg/Bureau/C/PROJET-TAXI/OC/src/oc.c", "C", 213, 0, 0, 40, 67, 320
"/home/gg/Bureau/C/PROJET-TAXI/RPG/Makefile", "Makefile", 0, 15, 0, 0, 7, 22
"/home/gg/Bureau/C/PROJET-TAXI/RPG/src/rpg.c", "C", 34, 0, 0, 0, 7, 41
"/home/gg/Bureau/C/PROJET-TAXI/UI/Makefile", "Makefile", 0, 23, 0, 1, 12, 36
"/home/gg/Bureau/C/PROJET-TAXI/UI/include/defines.h", "CUDA C++", 0, 0, 22, 0, 10, 32
"/home/gg/Bureau/C/PROJET-TAXI/UI/include/draws.h", "CUDA C++", 0, 0, 10, 0, 4, 14
"/home/gg/Bureau/C/PROJET-TAXI/UI/include/gstructs.h", "CUDA C++", 0, 0, 34, 3, 10, 47
"/home/gg/Bureau/C/PROJET-TAXI/UI/include/handler.h", "CUDA C++", 0, 0, 7, 0, 3, 10
"/home/gg/Bureau/C/PROJET-TAXI/UI/include/list.h", "CUDA C++", 0, 0, 26, 8, 13, 47
"/home/gg/Bureau/C/PROJET-TAXI/UI/include/quarters.h", "CUDA C++", 0, 0, 5, 0, 3, 8
"/home/gg/Bureau/C/PROJET-TAXI/UI/include/ui.h", "CUDA C++", 0, 0, 10, 0, 4, 14
"/home/gg/Bureau/C/PROJET-TAXI/UI/src/draws.c", "C", 123, 0, 0, 28, 34, 185
"/home/gg/Bureau/C/PROJET-TAXI/UI/src/handler.c", "C", 65, 0, 0, 2, 14, 81
"/home/gg/Bureau/C/PROJET-TAXI/UI/src/list.c", "C", 87, 0, 0, 54, 29, 170
"/home/gg/Bureau/C/PROJET-TAXI/UI/src/main.c", "C", 31, 0, 0, 1, 9, 41
"/home/gg/Bureau/C/PROJET-TAXI/UI/src/quarters.c", "C", 122, 0, 0, 6, 24, 152
"/home/gg/Bureau/C/PROJET-TAXI/UI/src/ui.c", "C", 45, 0, 0, 76, 13, 134
"/home/gg/Bureau/C/PROJET-TAXI/client/Makefile", "Makefile", 0, 17, 0, 0, 8, 25
"/home/gg/Bureau/C/PROJET-TAXI/client/include/client.h", "CUDA C++", 0, 0, 13, 1, 3, 17
"/home/gg/Bureau/C/PROJET-TAXI/client/include/defines.h", "CUDA C++", 0, 0, 153, 9, 6, 168
"/home/gg/Bureau/C/PROJET-TAXI/client/src/client.c", "C", 84, 0, 0, 12, 17, 113
"/home/gg/Bureau/C/PROJET-TAXI/client/src/main.c", "C", 24, 0, 0, 7, 14, 45
"/home/gg/Bureau/C/PROJET-TAXI/launcher.c", "C", 27, 0, 0, 2, 5, 34
"/home/gg/Bureau/C/PROJET-TAXI/moto/Makefile", "Makefile", 0, 19, 0, 0, 9, 28
"/home/gg/Bureau/C/PROJET-TAXI/moto/include/defines.h", "CUDA C++", 0, 0, 155, 0, 7, 162
"/home/gg/Bureau/C/PROJET-TAXI/moto/include/initialisation_bikes.h", "CUDA C++", 0, 0, 6, 0, 2, 8
"/home/gg/Bureau/C/PROJET-TAXI/moto/include/signal.h", "CUDA C++", 0, 0, 9, 0, 2, 11
"/home/gg/Bureau/C/PROJET-TAXI/moto/src/initialisation-bikes.c", "C", 137, 0, 0, 9, 12, 158
"/home/gg/Bureau/C/PROJET-TAXI/moto/src/main.c", "C", 41, 0, 0, 9, 18, 68
"/home/gg/Bureau/C/PROJET-TAXI/moto/src/signal.c", "C", 36, 0, 0, 9, 12, 57
"Total", "-", 1315, 115, 595, 353, 524, 2902